Project_ID,State,Constituency,Work category,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,Elapsed_Days,Predicted_Days,Days_Overdue,Delay_Severity_%
139938.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139937.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139936.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139935.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139934.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139933.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139932.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139931.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139930.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139929.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139928.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139925.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139912.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139924.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139923.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139921.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139920.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139919.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139918.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139917.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
