Project_ID,Constituency,State,Work category,Work description,RECOMMENDED AMOUNT   ( ₹ ),Category_Mean_Cost,Category_Median_Cost,Anomaly_Score
141947.0,CHITTOOR,Andhra Pradesh,normal/others,"construction of 60kl, elsr at kondamitta (vinayakapuram) in wardno.28 in chittoor municipal corporation, chittoor constituency.",3100000.0,521220.07,300000.0,-0.0075
203333.0,AMETHI,Uttar Pradesh,normal/others,"installation of 137 (one hundred thirty-seven) solar street lights at various locations in block jagdishpur and bazar shukul, as per the attached list.",3077568.0,521220.07,300000.0,-0.0065
153242.0,RAMPUR,Uttar Pradesh,normal/others,"construction of  760mtr. boundary wall in shaheed-e-azam sports stadium bamanpuri,rampur (i.a. red rampur)",3069043.0,521220.07,300000.0,-0.006
283031.0,RAE BARELI,Uttar Pradesh,normal/others,installation of 1 to 142 (one hundred forty two) solar lights as per the attached list,3052574.0,521220.07,300000.0,-0.0035
226477.0,AGRA(SC),Uttar Pradesh,normal/others,cc work from omprakash house to ramesh vakil house in village sikatara block etmadpur,3053742.0,521220.07,300000.0,-0.0035
151387.0,REWA,Madhya Pradesh,normal/others,rcc bench,3062430.0,521220.07,300000.0,-0.0035
224707.0,ANANTNAG,Jammu And Kashmir,normal/others,construction of footbridge over panihad nallah near graveyard at mohra gurian,3060000.0,521220.07,300000.0,-0.0035
181968.0,BOLPUR(SC),West Bengal,normal/others,"development of adayasakti park at bolpur municipality ward no20.executing agency e.o.ssda,",3060311.0,521220.07,300000.0,-0.0035
183102.0,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,trust and society,"con. bore well with water tank (60000 ltr capacity), boundary wall with gate, parking space, toilets with bathroom, drainage system, rain harvesting system at sri guruji community centre, dollygunj",4992971.0,966698.7,500000.0,-0.0031
286954.0,FATEHPUR SIKRI,Uttar Pradesh,normal/others,"installation of semi high-mast lights at 12 public places in villages of kheragarh, jaitpur and bah development blocks according to letter no 115 patrank 11445 2026 dated 17-6-2026",2992000.0,521220.07,300000.0,-0.0005
232651.0,BASTI,Uttar Pradesh,normal/others,"cc road construction work from musha belghat road to kali prasads house in velghat purva, distance approximately 350 meters, block-gaur.",2994000.0,521220.07,300000.0,-0.0005
156814.0,MEDINIPUR,West Bengal,normal/others,construction of boundary wall and renovation  of mohonpur rural hospital,2994902.0,521220.07,300000.0,-0.0005
218858.0,HINGOLI,Maharashtra,normal/others,"construction of cement concrete road in dr. ambedkar nagar, at somthana tq. wasmat dist hingoli.",2993160.0,521220.07,300000.0,-0.0005
145805.0,SIKKIM,Sikkim,normal/others,construction and renovation of approach road at sharchock below lachung monastery,2995995.0,521220.07,300000.0,-0.0005
220221.0,KANPUR,Uttar Pradesh,normal/others,lok sabha kanpur nagar me 04 nag steel  tanker ki apurti ka karya,2996000.0,521220.07,300000.0,-0.0005
