"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"80524","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment Success","733960"
"80525","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment Success","733960"
"80526","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154475","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80527","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154470","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80528","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154473","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80529","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154469","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","267962"
"80530","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154462","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80531","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154471","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","267962"
"80532","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154461","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80533","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154463","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80534","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154464","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80535","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154465","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80536","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154466","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80537","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154468","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","14-Jan-2026","Electromech Enterpries","Payment Success","67362"
"80538","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154492","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","22-Dec-2025","Electromech Enterpries","Payment Success","636020"
"80539","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154470","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80540","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154473","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80541","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154468","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80542","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154475","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80543","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154465","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80544","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154466","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80545","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154462","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80546","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154461","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80547","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154463","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80548","Uttar Pradesh","Installing community drinking water plants","WS/MP18203/2024-2025/154464","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Jul-2025","Electromech Enterpries","Payment Success","200600"
"80549","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154494","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","127204"
"80550","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154493","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","127204"
"80551","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154499","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","706584"
"80552","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154506","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","706584"
"80553","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154505","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","507164"
"80554","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154496","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","507164"
"80555","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154495","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","507164"
"80556","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154497","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","27-Mar-2025","Electromech Enterpries","Payment Success","507164"
"80557","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154477","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","21-Apr-2025","Electromech Enterpries","Payment Success","636020"
"80558","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154476","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","21-Apr-2025","Electromech Enterpries","Payment Success","636020"
"80559","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154488","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","21-Apr-2025","Electromech Enterpries","Payment Success","636020"
"80560","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154489","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","21-Apr-2025","Electromech Enterpries","Payment Success","636020"
"80561","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154490","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","21-Apr-2025","Electromech Enterpries","Payment Success","636020"
"80562","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154498","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","21-Apr-2025","Electromech Enterpries","Payment Success","636020"
"80563","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18203/2024-2025/154491","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","23-Jun-2025","Electromech Enterpries","Payment Success","636020"
"80564","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2024-2025/154499","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","04-Jul-2025","Electromech Enterpries","Payment Success","235416"
"80565","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233875","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","02-Jul-2026","DARSH BUILDCON","Payment Success","997763"
"80566","Uttar Pradesh","Lighting of public spaces","WS/MP18210/2025-2026/212736","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","06-Aug-2025","HIDAYA QIRAT ENTERPRISES","Payment Success","4276800"
"80567","Uttar Pradesh","Lighting of public spaces","WS/MP18210/2025-2026/212736","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","06-Aug-2025","HIDAYA QIRAT ENTERPRISES","Payment Success","3326400"
"80568","Uttar Pradesh","Lighting of public spaces","WS/MP18210/2025-2026/212736","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","03-Oct-2025","HIDAYA QIRAT ENTERPRISES","Payment Success","2850800"
"80569","Uttar Pradesh","Lighting of public spaces","WS/MP18210/2025-2026/212736","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","03-Oct-2025","HIDAYA QIRAT ENTERPRISES","Payment Success","2376000"
"80570","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242227","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80571","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242231","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80572","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242224","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80573","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242218","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80574","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242229","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80575","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242257","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80576","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242259","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80577","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242234","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80578","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242235","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80579","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242263","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80580","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242213","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80581","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242212","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80582","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242264","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80583","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242265","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80584","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242266","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80585","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242258","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80586","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242361","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80587","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242362","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80588","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242363","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80589","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242211","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80590","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242215","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80591","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242220","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80592","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242360","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80593","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242379","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80594","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242346","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80595","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242377","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80596","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242378","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80597","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242355","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80598","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242364","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80599","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242366","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80600","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242372","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80601","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242373","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80602","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242374","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80603","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242348","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80604","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242356","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80605","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242357","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80606","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242048","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80607","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242347","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80608","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242046","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80609","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242054","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80610","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242060","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80611","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242343","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80612","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242003","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80613","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242006","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80614","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242016","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80615","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242019","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80616","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242023","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80617","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242031","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80618","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242033","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80619","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242042","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","18-Apr-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80620","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241991","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80621","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241987","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80622","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241984","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80623","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241977","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80624","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241972","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80625","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241994","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80626","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241970","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80627","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241965","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80628","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241963","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80629","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241962","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80630","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241958","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80631","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241956","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80632","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241955","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80633","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241954","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80634","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2026-2027/241996","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80635","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242230","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
"80636","Uttar Pradesh","Lighting of public spaces","WS/MP18352/2025-2026/242365","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","03-Jul-2026","HIDAYA QIRAT ENTERPRISES","Payment Success","159055"
