Project_ID,Work description,Work category,Hon'ble Members of Parliament,Constituency,State,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,Sanction Amount ( ₹ ),Work Status,Fund Disbursed Amount ( ₹ ),Payment Status,Completion Date,Amount Disbursed ( ₹ ),riskScore,riskLevel
161194.0,providing street lighting for ward no.12 venkatapuram village of nasanakota(gp) at ramagiri(m),normal/others,B K PARTHASARATHI,HINDUPUR,Andhra Pradesh,2024-12-24,499992.0,2025-02-28,499992.0,Physical Inspection,499992.0,Payment Success,2025-04-26,499992,5,LOW
161195.0,mini mast light at vazhukkappara in  parali grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-10,190577,5,LOW
161196.0,mini mast light at kuthuparambu  vadukathara in  parali grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-10,190577,5,LOW
161198.0,mini mast light at kongad kammalassery sri kurumba kavu junction in kongad grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-13,190577,5,LOW
161201.0,mini mast light at kongad chc kavalengal junction in kongad grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-13,190577,5,LOW
161202.0,"construction of cc road with cover drain from h/o subrata roy towrads h/o ananda das at apurbanagar, sansad xiii, mouza bilkanda, jl no 25, bilkanda i gram panchayat, under barrackpore ii panchayat samity",normal/others,Prof Sougata Ray,DUM DUM,West Bengal,2024-12-24,343811.0,2025-05-29,343811.0,Work Completed,295362.0,Payment Success,2025-10-30,295362,5,LOW
161203.0,mini mast light at kongad pachani laksham veedu colony in kongad  grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-13,190577,5,LOW
161204.0,mini mast light at kongad attakkad canal junction in kongad grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-13,190577,5,LOW
161205.0,mini mast light at mucheeri nellikunnu vellappuram junction.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-13,190577,5,LOW
161206.0,high mast light at mannur centre in mannur grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,475597.0,2025-04-05,475597.0,Physical Inspection,475597.0,Payment Success,2025-10-13,475597,5,LOW
161207.0,mini mast  light at mannur parayankad centre in mannur grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,190577.0,2025-04-05,190577.0,Physical Inspection,190577.0,Payment Success,2025-10-13,190577,5,LOW
161209.0,mini mast light at mepparambu canal road area in pirayiri grama panchayath.,normal/others,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Kerala,2024-12-29,184506.0,2026-02-10,184506.0,Physical Inspection,184506.0,Payment Success,2026-02-17,184506,5,LOW
